"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2008-01-01","2008-12-31",2008,9,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2009-01-01","2009-12-31",2009,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2010-01-01","2010-12-31",2010,1,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2011-01-01","2011-12-31",2011,9,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2012-01-01","2012-12-31",2012,7,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2013-01-01","2013-12-31",2013,8,"Total","Admin0","Year","WHOPAHO-ALL-2013-Y02-00"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-06-15","2014-06-21",2014,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-25"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-06-22","2014-06-28",2014,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-26"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-06-29","2014-07-05",2014,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-27"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-07-06","2014-07-12",2014,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-28"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-07-13","2014-07-19",2014,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-29"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-07-20","2014-07-26",2014,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-30"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-07-27","2014-08-02",2014,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-31"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-08-03","2014-08-09",2014,1,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-32"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-11-02","2014-11-08",2014,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-45"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-11-09","2014-11-15",2014,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-46"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-11-16","2014-11-22",2014,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-47"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-11-23","2014-11-29",2014,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-48"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-11-30","2014-12-06",2014,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-49"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-12-07","2014-12-13",2014,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-50"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-12-14","2014-12-20",2014,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-51"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-12-21","2014-12-27",2014,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-52"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2014-12-28","2015-01-03",2014,1,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-53"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-05-24","2015-05-30",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-21 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-05-31","2015-06-06",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-22 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-06-07","2015-06-13",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-23 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-06-14","2015-06-20",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-24 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-06-21","2015-06-27",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-25 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-06-28","2015-07-04",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-26 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-07-05","2015-07-11",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-27 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-07-19","2015-07-25",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-29 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-07-26","2015-08-01",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-30 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-08-02","2015-08-08",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-31 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-08-09","2015-08-15",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-32 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-08-16","2015-08-22",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-33 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-08-23","2015-08-29",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-34 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-08-30","2015-09-05",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-35 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-09-06","2015-09-12",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-36 (Zero filling)"
"ANGUILLA",NA,NA,"ANGUILLA","AIA",9,"AIA",NA,"2015-09-13","2015-09-19",2015,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-37 (Zero filling)"
